repo_owner,repo_name,repo_branch,repo_html_url,raw_file_url,repo_created_at,repo_updated_at,repo_last_commit,repo_is_fork,repo_is_archived,repo_issues_enabled,stars_count,forks_count,watchers_count,last_update_to_file,last_check
"sjhgvr","oisd","main","https://github.com/sjhgvr/oisd","https://raw.githubusercontent.com/sjhgvr/oisd/main/abp_nsfw.txt","2023-03-16T19:38:31Z","2024-01-16T18:12:39Z","2024-01-19T06:29:47Z","false","false","true","49","4","2","2024-01-19T06:29:36Z","2024-01-19T09:07:54Z"
"alexsannikov","adguardhome-filters","master","https://github.com/alexsannikov/adguardhome-filters","https://raw.githubusercontent.com/alexsannikov/adguardhome-filters/master/porn.txt","2019-03-04T15:12:44Z","2023-12-09T04:43:09Z","2024-01-19T08:25:20Z","false","false","true","39","24","4","2024-01-17T08:25:18Z","2024-01-19T09:07:26Z"
"blocklistproject","Lists","master","https://github.com/blocklistproject/Lists","https://raw.githubusercontent.com/blocklistproject/Lists/master/porn.txt","2020-06-07T17:54:28Z","2024-01-18T17:24:24Z","2024-01-08T13:53:21Z","false","false","true","2997","290","57","2024-01-08T13:52:34Z","2024-01-19T09:07:27Z"
"v2fly","domain-list-community","master","https://github.com/v2fly/domain-list-community","https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/category-porn","2020-07-18T13:05:41Z","2024-01-19T06:16:51Z","2024-01-17T04:34:04Z","false","false","true","3689","735","51","2024-01-05T03:46:55Z","2024-01-19T09:07:57Z"
"Sinfonietta","hostfiles","master","https://github.com/Sinfonietta/hostfiles","https://raw.githubusercontent.com/Sinfonietta/hostfiles/master/pornography-hosts","2016-02-22T16:57:22Z","2024-01-03T20:23:27Z","2024-01-17T21:27:33Z","false","false","true","111","55","9","2024-01-04T03:12:06Z","2024-01-19T09:07:52Z"
"Bon-Appetit","porn-domains","master","https://github.com/Bon-Appetit/porn-domains","https://raw.githubusercontent.com/Bon-Appetit/porn-domains/master/bl-custom.txt","2018-07-21T14:36:55Z","2024-01-17T05:24:34Z","2024-01-19T09:01:47Z","false","false","true","150","40","13","2023-12-10T03:17:42Z","2024-01-19T09:07:29Z"
"Castle67","CastleAds","main","https://github.com/Castle67/CastleAds","https://raw.githubusercontent.com/Castle67/CastleAds/main/extensions/porn/sinfonietta/hosts","2021-07-29T09:43:08Z","2021-12-30T13:17:05Z","2023-10-21T17:40:36Z","false","false","true","0","0","1","2023-10-08T15:47:09Z","2024-01-19T09:07:31Z"
"Castle67","CastleAds","main","https://github.com/Castle67/CastleAds","https://raw.githubusercontent.com/Castle67/CastleAds/main/NakedSite","2021-07-29T09:43:08Z","2021-12-30T13:17:05Z","2023-10-21T17:40:36Z","false","false","true","0","0","1","2023-10-08T15:38:27Z","2024-01-19T09:07:32Z"
"mullvad","dns-blocklists","main","https://github.com/mullvad/dns-blocklists","https://raw.githubusercontent.com/mullvad/dns-blocklists/main/lists/relay/adult/pornography-hosts","2021-06-07T09:36:56Z","2024-01-18T04:12:58Z","2024-01-18T08:29:30Z","false","false","true","670","38","17","2023-09-13T09:20:14Z","2024-01-19T09:07:41Z"
"LittleCordines","pfsense-hosts-file","master","https://github.com/LittleCordines/pfsense-hosts-file","https://raw.githubusercontent.com/LittleCordines/pfsense-hosts-file/master/PornBlocklists","2019-09-11T15:42:51Z","2022-01-09T04:51:44Z","2023-08-22T08:16:12Z","false","false","true","1","1","3","2023-08-22T08:16:12Z","2024-01-19T09:07:39Z"
"elbkr","bad-websites","main","https://github.com/elbkr/bad-websites","https://raw.githubusercontent.com/elbkr/bad-websites/main/separated/nsfw.json","2021-06-25T13:18:21Z","2023-07-19T00:25:51Z","2023-06-30T22:28:23Z","false","false","true","57","25","4","2023-04-16T05:08:58Z","2024-01-19T09:07:35Z"
"nizekun","adguardhome-blocklist","main","https://github.com/nizekun/adguardhome-blocklist","https://raw.githubusercontent.com/nizekun/adguardhome-blocklist/main/porn-list.txt","2021-02-12T09:34:13Z","2023-12-09T03:48:12Z","2022-08-13T15:28:19Z","false","false","true","1","0","1","2022-08-13T15:28:19Z","2024-01-19T09:07:50Z"
"moose84","list","master","https://github.com/moose84/list","https://raw.githubusercontent.com/moose84/list/master/listaPI.txt","2020-07-24T12:37:33Z","2023-12-09T04:49:11Z","2022-01-21T18:43:59Z","false","false","true","1","0","2","2022-01-21T18:43:59Z","2024-01-19T09:07:40Z"
"brijrajparmar27","host-sources","master","https://github.com/brijrajparmar27/host-sources","https://raw.githubusercontent.com/brijrajparmar27/host-sources/master/Porn/hosts","2021-08-30T16:43:16Z","2023-12-09T04:32:37Z","2021-11-28T06:41:29Z","false","false","true","2","0","0","2021-11-28T06:41:29Z","2024-01-19T09:07:30Z"
"emiliodallatorre","adult-hosts-list","main","https://github.com/emiliodallatorre/adult-hosts-list","https://raw.githubusercontent.com/emiliodallatorre/adult-hosts-list/main/list.txt","2021-11-03T10:12:47Z","2024-01-02T18:43:02Z","2021-11-03T11:05:28Z","false","false","true","8","3","2","2021-11-03T10:27:48Z","2024-01-19T09:07:36Z"
"edmond-nader","MyPiHoleLists","main","https://github.com/edmond-nader/MyPiHoleLists","https://raw.githubusercontent.com/edmond-nader/MyPiHoleLists/main/PiPornList.txt","2021-10-04T21:11:49Z","2023-12-09T04:32:07Z","2021-10-04T21:15:22Z","false","false","true","1","0","1","2021-10-04T21:15:21Z","2024-01-19T09:07:34Z"
"go2engineering","pihole-blocklists","main","https://github.com/go2engineering/pihole-blocklists","https://raw.githubusercontent.com/go2engineering/pihole-blocklists/main/pihole_blocklist_adult.list","2021-09-23T11:55:16Z","2023-12-09T03:52:18Z","2021-09-23T12:02:56Z","false","false","true","1","0","1","2021-09-23T12:02:56Z","2024-01-19T09:07:38Z"
"pq6p41fgt6k","potential-octo-parakeet","master","https://github.com/pq6p41fgt6k/potential-octo-parakeet","https://raw.githubusercontent.com/pq6p41fgt6k/potential-octo-parakeet/master/porn.txt","2021-03-23T16:00:52Z","2023-12-09T04:48:22Z","2021-03-23T16:03:13Z","false","false","false","1","0","1","2021-03-17T07:25:08Z","2024-01-19T09:07:51Z"
"nizekun","adguardhome-blocklist","main","https://github.com/nizekun/adguardhome-blocklist","https://raw.githubusercontent.com/nizekun/adguardhome-blocklist/main/alexsannikov-pornlist.txt","2021-02-12T09:34:13Z","2023-12-09T03:48:12Z","2022-08-13T15:28:19Z","false","false","true","1","0","1","2021-03-14T03:26:46Z","2024-01-19T09:07:43Z"
"nizekun","adguardhome-blocklist","main","https://github.com/nizekun/adguardhome-blocklist","https://raw.githubusercontent.com/nizekun/adguardhome-blocklist/main/chadmayfieldporn_all3.txt","2021-02-12T09:34:13Z","2023-12-09T03:48:12Z","2022-08-13T15:28:19Z","false","false","true","1","0","1","2021-02-12T10:35:06Z","2024-01-19T09:07:46Z"
"nizekun","adguardhome-blocklist","main","https://github.com/nizekun/adguardhome-blocklist","https://raw.githubusercontent.com/nizekun/adguardhome-blocklist/main/chadmayfieldporn_all2.txt","2021-02-12T09:34:13Z","2023-12-09T03:48:12Z","2022-08-13T15:28:19Z","false","false","true","1","0","1","2021-02-12T10:34:27Z","2024-01-19T09:07:45Z"
"nizekun","adguardhome-blocklist","main","https://github.com/nizekun/adguardhome-blocklist","https://raw.githubusercontent.com/nizekun/adguardhome-blocklist/main/chadmayfieldporn_all1.txt","2021-02-12T09:34:13Z","2023-12-09T03:48:12Z","2022-08-13T15:28:19Z","false","false","true","1","0","1","2021-02-12T10:33:40Z","2024-01-19T09:07:44Z"
"nizekun","adguardhome-blocklist","main","https://github.com/nizekun/adguardhome-blocklist","https://raw.githubusercontent.com/nizekun/adguardhome-blocklist/main/mhhakimpornlist.txt","2021-02-12T09:34:13Z","2023-12-09T03:48:12Z","2022-08-13T15:28:19Z","false","false","true","1","0","1","2021-02-12T10:08:27Z","2024-01-19T09:07:49Z"
"nizekun","adguardhome-blocklist","main","https://github.com/nizekun/adguardhome-blocklist","https://raw.githubusercontent.com/nizekun/adguardhome-blocklist/main/chadmayfieldtop1mlist.txt","2021-02-12T09:34:13Z","2023-12-09T03:48:12Z","2022-08-13T15:28:19Z","false","false","true","1","0","1","2021-02-12T10:03:11Z","2024-01-19T09:07:47Z"
"tiuxo","hosts","master","https://github.com/tiuxo/hosts","https://raw.githubusercontent.com/tiuxo/hosts/master/porn","2019-04-25T04:06:03Z","2023-11-05T17:38:52Z","2023-09-07T14:00:00Z","false","false","true","27","10","5","2020-12-06T22:50:18Z","2024-01-19T09:07:56Z"
