last_update_to_file_at,repo_name,repo_owner,repo_branch,raw_file_url,repo_html_url,repo_is_fork,parent_html_url,repo_created_at,repo_updated_at,repo_last_commit_at,repo_is_archived,repo_issues_enabled,stars_count,forks_count,watchers_count,last_check_at
"2025-04-16T06:12:59Z","oisd","sjhgvr","main","https://raw.githubusercontent.com/sjhgvr/oisd/main/abp_nsfw.txt","https://github.com/sjhgvr/oisd","false","null","2023-03-16T19:38:31Z","2025-04-16T06:13:24Z","2025-04-16T06:13:15Z","false","true","115","4","6","2025-04-16T06:30:13Z"
"2025-04-14T07:30:15Z","adguardhome-filters","alexsannikov","master","https://raw.githubusercontent.com/alexsannikov/adguardhome-filters/master/porn.txt","https://github.com/alexsannikov/adguardhome-filters","false","null","2019-03-04T15:12:44Z","2025-04-15T16:52:18Z","2025-04-14T07:30:17Z","false","true","50","23","5","2025-04-16T06:30:08Z"
"2025-04-14T07:07:59Z","dns-blocklists","mullvad","main","https://raw.githubusercontent.com/mullvad/dns-blocklists/main/lists/relay/adult/oisd-nsfw","https://github.com/mullvad/dns-blocklists","false","null","2021-06-07T09:36:56Z","2025-04-15T10:20:28Z","2025-04-14T07:08:28Z","false","true","1371","62","25","2025-04-16T06:30:06Z"
"2025-04-02T00:12:48Z","domain-yaml-community","edwdch","master","https://raw.githubusercontent.com/edwdch/domain-yaml-community/master/yaml/category-porn.txt","https://github.com/edwdch/domain-yaml-community","false","null","2023-11-08T13:24:31Z","2025-04-16T00:13:04Z","2025-04-16T00:13:00Z","false","true","5","1","1","2025-04-16T06:30:06Z"
"2025-04-01T02:25:23Z","domain-list-community","v2fly","master","https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/category-porn","https://github.com/v2fly/domain-list-community","false","null","2020-07-18T13:05:41Z","2025-04-16T06:23:30Z","2025-04-15T15:18:22Z","false","true","5754","994","64","2025-04-16T06:30:17Z"
"2025-03-21T16:39:32Z","hostfiles","Sinfonietta","master","https://raw.githubusercontent.com/Sinfonietta/hostfiles/master/pornography-hosts","https://github.com/Sinfonietta/hostfiles","false","null","2016-02-22T16:57:22Z","2025-04-12T06:06:16Z","2025-03-21T16:39:33Z","false","true","151","73","10","2025-04-16T06:30:12Z"
"2024-10-27T01:18:43Z","MANTANKODE","madi10","master","https://raw.githubusercontent.com/madi10/MANTANKODE/master/AdGuard/pornlist.txt","https://github.com/madi10/MANTANKODE","false","null","2019-05-10T20:47:54Z","2025-01-23T17:48:32Z","2025-01-23T17:48:28Z","false","true","4","2","1","2025-04-16T06:30:14Z"
"2024-09-30T09:29:33Z","zflow","orange1688","master","https://raw.githubusercontent.com/orange1688/zflow/master/url_filter/adult_url_filter_domain.txt","https://github.com/orange1688/zflow","false","null","2024-09-29T12:10:56Z","2025-04-16T05:57:19Z","2025-04-16T05:57:16Z","false","false","1","0","1","2025-04-16T06:30:06Z"
"2024-09-20T15:08:43Z","Lists","blocklistproject","master","https://raw.githubusercontent.com/blocklistproject/Lists/master/alt-version/porn-nl.txt","https://github.com/blocklistproject/Lists","false","null","2020-06-07T17:54:28Z","2025-04-16T01:07:08Z","2024-11-05T03:58:28Z","false","true","4122","357","82","2025-04-16T06:30:11Z"
"2024-01-23T00:40:04Z","easylist","ameshkov","master","https://raw.githubusercontent.com/ameshkov/easylist/master/easylist_adult/adult_adservers.txt","https://github.com/ameshkov/easylist","true","https://github.com/easylist/easylist","2018-04-20T08:36:29Z","2024-01-31T11:57:02Z","2024-01-31T12:19:20Z","false","false","0","0","2","2025-04-16T06:30:09Z"
"2023-10-21T17:40:25Z","CastleAds","Castle67","main","https://raw.githubusercontent.com/Castle67/CastleAds/main/NakedSite.lst","https://github.com/Castle67/CastleAds","false","null","2021-07-29T09:43:08Z","2024-10-17T02:56:14Z","2023-10-21T17:40:36Z","false","true","1","0","1","2025-04-16T06:30:14Z"
"2023-10-08T15:47:09Z","CastleAds","Castle67","main","https://raw.githubusercontent.com/Castle67/CastleAds/main/extensions/porn/sinfonietta/hosts.txt","https://github.com/Castle67/CastleAds","false","null","2021-07-29T09:43:08Z","2024-10-17T02:56:14Z","2023-10-21T17:40:36Z","false","true","1","0","1","2025-04-16T06:30:13Z"
"2023-08-22T08:16:12Z","pfsense-hosts-file","LittleCordines","master","https://raw.githubusercontent.com/LittleCordines/pfsense-hosts-file/master/PornBlocklists","https://github.com/LittleCordines/pfsense-hosts-file","false","null","2019-09-11T15:42:51Z","2022-01-09T04:51:44Z","2023-08-22T08:16:12Z","false","true","1","1","3","2025-04-16T06:30:12Z"
"2023-04-16T05:08:58Z","bad-websites","elbkr","main","https://raw.githubusercontent.com/elbkr/bad-websites/main/separated/nsfw.json","https://github.com/elbkr/bad-websites","false","null","2021-06-25T13:18:21Z","2025-01-03T11:32:24Z","2024-04-22T04:42:56Z","false","true","57","23","4","2025-04-16T06:30:07Z"
"2023-02-20T03:22:09Z","domain-list-community","mssvpn","master","https://raw.githubusercontent.com/mssvpn/domain-list-community/master/data/category-porn","https://github.com/mssvpn/domain-list-community","true","https://github.com/v2fly/domain-list-community","2023-02-21T01:21:11Z","2023-02-21T01:24:55Z","2023-02-22T12:57:12Z","false","false","0","0","0","2025-04-16T06:30:16Z"
"2022-12-24T22:38:14Z","easylist","ajayyy","master","https://raw.githubusercontent.com/ajayyy/easylist/master/easylist_adult/adult_adservers.txt","https://github.com/ajayyy/easylist","true","https://github.com/easylist/easylist","2021-09-22T01:01:33Z","2024-10-01T22:39:03Z","2022-12-30T04:48:50Z","false","false","5","0","1","2025-04-16T06:30:07Z"
"2022-08-13T15:28:19Z","adguardhome-blocklist","nizekun","main","https://raw.githubusercontent.com/nizekun/adguardhome-blocklist/main/porn-list.txt","https://github.com/nizekun/adguardhome-blocklist","false","null","2021-02-12T09:34:13Z","2023-12-09T03:48:12Z","2022-08-13T15:28:19Z","false","true","1","0","1","2025-04-16T06:30:14Z"
"2022-03-30T21:02:08Z","easylist","tvpmb","master","https://raw.githubusercontent.com/tvpmb/easylist/master/easylist_adult/adult_specific_block.txt","https://github.com/tvpmb/easylist","true","https://github.com/easylist/easylist","2022-04-05T16:50:00Z","2022-04-04T09:37:28Z","2022-04-05T16:29:48Z","false","false","0","0","0","2025-04-16T06:30:16Z"
"2022-01-29T04:15:24Z","easylist","OliverJAsh","master","https://raw.githubusercontent.com/OliverJAsh/easylist/master/easylist_adult/adult_adservers.txt","https://github.com/OliverJAsh/easylist","true","https://github.com/easylist/easylist","2022-01-29T18:52:23Z","2023-03-04T05:50:25Z","2022-04-21T09:02:26Z","false","false","1","0","1","2025-04-16T06:30:16Z"
"2022-01-21T18:43:59Z","list","moose84","master","https://raw.githubusercontent.com/moose84/list/master/listaPI.txt","https://github.com/moose84/list","false","null","2020-07-24T12:37:33Z","2023-12-09T04:49:11Z","2022-01-21T18:43:59Z","false","true","1","1","1","2025-04-16T06:30:15Z"
"2021-12-10T08:43:46Z","easylist","shane-walker","master","https://raw.githubusercontent.com/shane-walker/easylist/master/easylist_adult/adult_specific_block.txt","https://github.com/shane-walker/easylist","true","https://github.com/easylist/easylist","2021-12-10T20:35:17Z","2021-12-10T20:35:18Z","2021-12-10T20:50:31Z","false","false","0","0","0","2025-04-16T06:30:11Z"
"2021-11-28T06:41:29Z","host-sources","brijrajparmar27","master","https://raw.githubusercontent.com/brijrajparmar27/host-sources/master/Porn/hosts","https://github.com/brijrajparmar27/host-sources","false","null","2021-08-30T16:43:16Z","2023-12-09T04:32:37Z","2021-11-28T06:41:29Z","false","true","2","0","0","2025-04-16T06:30:12Z"
